"Game","Count","PopularityCategory"
"minecraft-java-edition",12162,"Greatest game ever"
"the-elder-scrolls-v-skyrim",4261,"Greatest game ever"
"diablo-3",2645,"Greatest game ever"
"league-of-legends",2126,"Greatest game ever"
"minecraft-bedrock-edition",1811,"Very popular game"
"pokemon-go",1760,"Very popular game"
"starcraft-2",1589,"Very popular game"
"mass-effect-3",1107,"Very popular game"
"fallout-4",1026,"Very popular game"
"world-of-warcraft",974,"Popular game"
"civilization-5",950,"Popular game"
"terraria",909,"Popular game"
"team-fortress-2",861,"Popular game"
"borderlands-2",826,"Popular game"
"dwarf-fortress",797,"Popular game"
"clash-of-clans",747,"Popular game"
"grand-theft-auto-5",719,"Popular game"
"dota-2",708,"Popular game"
"overwatch",637,"Popular game"
"counter-strike-global-offensive",624,"Popular game"
"guild-wars-2",474,"Quite popular game"
"fallout-shelter",465,"Quite popular game"
"grand-theft-auto-online",428,"Quite popular game"
"hearthstone",421,"Quite popular game"
"star-wars-the-old-republic",411,"Quite popular game"
"psn",410,"Quite popular game"
"kerbal-space-program",399,"Quite popular game"
"the-witcher-3",394,"Quite popular game"
"crusader-kings-2",393,"Quite popular game"
"fallout-new-vegas",388,"Quite popular game"
"minecraft-legacy-console",385,"Quite popular game"
"animal-crossing-new-leaf",378,"Quite popular game"
"pokemon-x-y",373,"Quite popular game"
"battlefield-3",369,"Quite popular game"
"nintendo-3ds-3dsxl-2ds",344,"Quite popular game"
"destiny",342,"Quite popular game"
"android",336,"Quite popular game"
"minecraft-feed-the-beast",329,"Quite popular game"
"xbox-live",327,"Quite popular game"
"minecraft-mods",322,"Quite popular game"
"ingress",321,"Quite popular game"
"dark-souls-2",321,"Quite popular game"
"zelda-breath-of-the-wild",293,"Quite popular game"
"civilization-6",287,"Quite popular game"
"pokemon-series",278,"Quite popular game"
"simcity-2013",276,"Quite popular game"
"nintendo-wii",275,"Quite popular game"
"ftl-faster-than-light",272,"Quite popular game"
"elite-dangerous",266,"Quite popular game"
"eve-online",263,"Quite popular game"
"star-wars-tiny-death-star",260,"Quite popular game"
"dark-souls",256,"Quite popular game"
"linux",254,"Quite popular game"
"call-of-duty-modern-warfare-3",253,"Quite popular game"
"wii-u",241,"Not so popular"
"path-of-exile",241,"Not so popular"
"minecraft-bukkit",238,"Not so popular"
"terraria-mobile",236,"Not so popular"
"xcom-2",236,"Not so popular"
"nethack",232,"Not so popular"
"no-mans-sky",226,"Not so popular"
"version-differences",225,"Not so popular"
"payday-2",218,"Not so popular"
"candy-box-2",218,"Not so popular"
"europa-universalis-iv",217,"Not so popular"
"the-witcher-2",216,"Not so popular"
"windows-10",212,"Not so popular"
"portal-2",211,"Not so popular"
"battlefield-4",210,"Not so popular"
"diablo-2",208,"Not so popular"
"emulation",205,"Not so popular"
"stardew-valley",203,"Not so popular"
"deus-ex-human-revolution",197,"Not so popular"
"windows-7",196,"Not so popular"
"stellaris",192,"Not so popular"
"nintendo-switch",192,"Not so popular"
"hardware",190,"Not so popular"
"game-identification",188,"Not so popular"
"starbound",188,"Not so popular"
"torchlight-2",186,"Not so popular"
"warframe",184,"Not so popular"
"pokemon-sun-moon",182,"Not so popular"
"kingdoms-amalur-reckoning",181,"Not so popular"
"fallout-3",178,"Not so popular"
"metal-gear-solid-5-the-phantom-pain",178,"Not so popular"
"borderlands",172,"Not so popular"
"cheats",172,"Not so popular"
"windows",172,"Not so popular"
"dragon-age-inquisition",172,"Not so popular"
"hosting",171,"Not so popular"
"pokemon-sixth-generation",171,"Not so popular"
"pokemon-omega-ruby-alpha-sapphire",170,"Not so popular"
"keyboard",169,"Not so popular"
"zelda-skyward-sword",169,"Not so popular"
"call-of-duty-black-ops",168,"Not so popular"
"networking",167,"Not so popular"
"skyrim-dawnguard",165,"Not so popular"
"the-elder-scrolls-online",165,"Not so popular"
"dragonvale",164,"Not so popular"
"performance",161,"Not so popular"
"the-binding-of-isaac",160,"Not so popular"
"backwards-compatibility",159,"Not so popular"
"dont-starve",158,"Not so popular"
"monitor",155,"Not so popular"
"kittens-game",155,"Not so popular"
"fortnite-battle-royale",154,"Not so popular"
"clash-royale",153,"Not so popular"
"graphics-card",152,"Not so popular"
"mass-effect-2",151,"Not so popular"
"origin",151,"Not so popular"
"cities-skylines",150,"Not so popular"
"the-binding-of-isaac-rebirth",149,"Not so popular"
"undertale",148,"Not so popular"
"battle.net",146,"Not so popular"
"dungeon-defenders",146,"Not so popular"
"animal-crossing-new-horizons",143,"Not so popular"
"sims-3",141,"Not so popular"
"batman-arkham-city",141,"Not so popular"
"playstation-plus",141,"Not so popular"
"ps-vita",140,"Not so popular"
"skyrim-hearthfire",140,"Not so popular"
"super-smash-bros-4",140,"Not so popular"
"server-administration",138,"Not so popular"
"saints-row-the-third",138,"Not so popular"
"counter-strike",137,"Not so popular"
"prison-architect",137,"Not so popular"
"call-of-duty-black-ops-2",137,"Not so popular"
"dark-souls-3",137,"Not so popular"
"civilization-5-gods-and-kings",136,"Not so popular"
"mass-effect-3-multiplayer",136,"Not so popular"
"factorio",134,"Not so popular"
"final-fantasy-15",133,"Not so popular"
"starcraft-zerg",132,"Not so popular"
"pokemon-fifth-generation",130,"Not so popular"
"dishonored",129,"Not so popular"
"bioshock-infinite",129,"Not so popular"
"destiny-2",129,"Not so popular"
"region-lock",128,"Not so popular"
"heroes-of-the-storm",128,"Not so popular"
"assassins-creed-revelations",126,"Not so popular"
"final-fantasy-13-2",125,"Not so popular"
"runescape",124,"Not so popular"
"mouse",122,"Not so popular"
"terraria-console",120,"Not so popular"
"the-elder-scrolls-iv-oblivion",119,"Not so popular"
"openttd",119,"Not so popular"
"assassins-creed-3",118,"Not so popular"
"civilization-5-brave-new-world",117,"Not so popular"
"pillars-of-eternity",117,"Not so popular"
"garrys-mod",116,"Not so popular"
"mass-effect",114,"Not so popular"
"diablo-3-wizard",113,"Not so popular"
"far-cry-3",112,"Not so popular"
"civilization-4",107,"Not so popular"
"assassins-creed-4-black-flag",107,"Not so popular"
"rocket-league",107,"Not so popular"
"xcom-enemy-within",106,"Not so popular"
"banished",106,"Not so popular"
"dragon-age-origins",105,"Not so popular"
"watch-dogs",105,"Not so popular"
"bloodborne",105,"Not so popular"
"call-of-duty-modern-warfare-2",104,"Not so popular"
"hard-drive",102,"Not so popular"
"plants-vs-zombies",101,"Not so popular"
"diablo-3-monk",101,"Not so popular"
"ps2",100,"Not so popular"
"nintendo-ds",100,"Not so popular"
"werewolv.es",100,"Not so popular"
"fez",99,"Not so popular"
"minecraft-forge",99,"Not so popular"
"red-dead-redemption-2",99,"Not so popular"
"dota",97,"Not so popular"
"playerunknowns-battlegrounds",96,"Not so popular"
"die2nite",95,"Not so popular"
"starcraft-terran",94,"Not so popular"
"world-of-tanks",93,"Not so popular"
"diablo-3-demon-hunter",93,"Not so popular"
"civilization-beyond-earth",93,"Not so popular"
"ark-survival-evolved",93,"Not so popular"
"source-engine",92,"Not so popular"
"jetpack-joyride",92,"Not so popular"
"super-smash-bros-ultimate",91,"Not so popular"
"final-fantasy-7",89,"Not so popular"
"starcraft-protoss",89,"Not so popular"
"halo-4",89,"Not so popular"
"grand-theft-auto-4",88,"Not so popular"
"rimworld",88,"Not so popular"
"pokemon-sword-shield",88,"Not so popular"
"dungeons-of-dredmor",87,"Not so popular"
"ubuntu",86,"Not so popular"
"steam-trading-cards",86,"Not so popular"
"far-cry-4",86,"Not so popular"
"final-fantasy-14",84,"Not so popular"
"the-secret-world",84,"Not so popular"
"skyrim-dragonborn",84,"Not so popular"
"monster-hunter-world",84,"Not so popular"
"psp",83,"Not so popular"
"mount-and-blade-warband",83,"Not so popular"
"mario-kart-8",82,"Not so popular"
"borderlands-pre-sequel",82,"Not so popular"
"might-and-magic-heroes-6",80,"Not so popular"
"tiny-tower",79,"Not so popular"
"euro-truck-simulator-2",79,"Not so popular"
"dead-island",78,"Not so popular"
"endless-space",77,"Not so popular"
"left-4-dead-2",76,"Not so popular"
"pokemon-first-generation",76,"Not so popular"
"tropico-4",76,"Not so popular"
"smite",76,"Not so popular"
"bravely-default",76,"Not so popular"
"audio-hardware",75,"Not so popular"
"temple-run-2",75,"Not so popular"
"grand-theft-auto-san-andreas",74,"Not so popular"
"starcraft",72,"Not so popular"
"recording",72,"Not so popular"
"minecraft-tekkit",71,"Not so popular"
"fallen-london",71,"Not so popular"
"minecraft-resource-packs",71,"Not so popular"
"mass-effect-andromeda",71,"Not so popular"
"the-elder-scrolls-iii-morrowind",70,"Not so popular"
"monster-hunter-3-ultimate",70,"Not so popular"
"plants-vs-zombies-2",70,"Not so popular"
"nintendo-gamecube",69,"Not so popular"
"magicka",69,"Not so popular"
"planetside-2",69,"Not so popular"
"game-dev-tycoon",68,"Not so popular"
"battlefield-1",68,"Not so popular"
"diablo-3-witch-doctor",67,"Not so popular"
"battlefield-bad-company-2",66,"Not so popular"
"kinect",66,"Not so popular"
"realm-of-the-mad-god",66,"Not so popular"
"roblox",66,"Not so popular"
"nier-automata",66,"Not so popular"
"snes",65,"Not so popular"
"streaming",65,"Not so popular"
"windows-8",65,"Not so popular"
"mass-effect-series",64,"Not so popular"
"diablo-3-barbarian",64,"Not so popular"
"candy-box",64,"Not so popular"
"splatoon-2",64,"Not so popular"
"assassins-creed-2",63,"Not so popular"
"wrath-of-the-lamb",63,"Not so popular"
"monster-hunter-4-ultimate",63,"Not so popular"
"horizon-zero-dawn",63,"Not so popular"
"the-witcher",62,"Not so popular"
"spiral-knights",62,"Not so popular"
"space-engineers",62,"Not so popular"
"torchlight",61,"Not so popular"
"nintendo-64",61,"Not so popular"
"minecraft-spigot",61,"Not so popular"
"half-life-2",60,"Not so popular"
"counter-strike-source",60,"Not so popular"
"just-cause-2",60,"Not so popular"
"dragon-age-2",60,"Not so popular"
"rogue-legacy",60,"Not so popular"
"south-park-the-stick-of-truth",60,"Not so popular"
"middle-earth-shadow-of-mordor",60,"Not so popular"
"the-division",60,"Not so popular"
"super-mario-odyssey",60,"Not so popular"
"red-dead-redemption",59,"Not so popular"
"framerate",59,"Not so popular"
"zelda-ocarina-of-time",59,"Not so popular"
"xenoblade-chronicles-2",59,"Not so popular"
"nes",58,"Not so popular"
"age-of-empires-ii-the-age-of-kings",58,"Not so popular"
"simcity-4",58,"Not so popular"
"minecraft-data-packs",58,"Not so popular"
"wine",57,"Not so popular"
"super-street-fighter-iv",57,"Not so popular"
"tomb-raider-2013",57,"Not so popular"
"diablo-3-console",57,"Not so popular"
"steam-family-sharing",57,"Not so popular"
"divinity-original-sin",57,"Not so popular"
"legend-of-grimrock",56,"Not so popular"
"call-of-duty-ghosts",56,"Not so popular"
"oxygen-not-included",56,"Not so popular"
"portal",55,"Not so popular"
"state-of-decay",55,"Not so popular"
"titanfall",55,"Not so popular"
"rock-band-3",54,"Not so popular"
"fifa-12",54,"Not so popular"
"candy-crush-saga",54,"Not so popular"
"streetpass-mii-plaza",54,"Not so popular"
"fire-emblem-heroes",54,"Not so popular"
"final-fantasy-10",53,"Not so popular"
"draw-something",53,"Not so popular"
"kingdom-of-loathing",53,"Not so popular"
"assassins-creed-brotherhood",53,"Not so popular"
"cookie-clicker",53,"Not so popular"
"geometry-dash",53,"Not so popular"
"cyberpunk-2077",53,"Not so popular"
"bastion",52,"Not so popular"
"uplay",52,"Not so popular"
"vim-adventures",52,"Not so popular"
"bioshock",51,"Not so popular"
"rage",51,"Not so popular"
"the-walking-dead",51,"Not so popular"
"competitive-gaming",51,"Not so popular"
"drm",50,"Not so popular"
"final-fantasy-13",50,"Not so popular"
"lord-of-the-rings-online",50,"Not so popular"
"dungeon-crawl-stone-soup",50,"Not so popular"
"x3-albion-prelude",50,"Not so popular"
"soul-calibur-5",50,"Not so popular"
"a-dark-room",50,"Not so popular"
"star-wars-battlefront-2015",50,"Not so popular"
"ps1",49,"Not so popular"
"nintendo-network-id",49,"Not so popular"
"call-of-duty-4-modern-warfare",48,"Not so popular"
"freeciv",48,"Not so popular"
"game-boy-advance",48,"Not so popular"
"fire-emblem-awakening",48,"Not so popular"
"guild-wars",47,"Not so popular"
"halo-reach",47,"Not so popular"
"fable-3",47,"Not so popular"
"super-smash-bros-brawl",47,"Not so popular"
"kingdom-hearts",47,"Not so popular"
"ni-no-kuni-wrath-of-the-white-witch",47,"Not so popular"
"dayz-2012",47,"Not so popular"
"saints-row-iv",47,"Not so popular"
"rome-2-total-war",47,"Not so popular"
"dying-light",47,"Not so popular"
"apex-legends",47,"Not so popular"
"minecraft-bedrock-edition-server",47,"Not so popular"
"mario-kart-wii",46,"Not so popular"
"minecraft-buildcraft",46,"Not so popular"
"7-days-to-die",46,"Not so popular"
"gaming-history",46,"Not so popular"
"xenoblade-chronicles-x",46,"Not so popular"
"the-elder-scrolls-series",45,"Not so popular"
"tf2-spy",45,"Not so popular"
"super-smash-bros-melee",45,"Not so popular"
